model,b,delta,delta_sd,null_mean,excess,n_rep,time_s
dinov2_s,0,0.0523034005176897,0.00027699258195578645,0.06899879334373715,-0.01669539282604745,20,39.66556072235107
dinov2_s,1,0.05291984679386876,0.000312549002501404,0.06902878673914056,-0.016108939945271808,20,41.55104494094849
dinov2_s,2,0.0527044264687566,0.00021897238042330424,0.06901534107791951,-0.016310914609162917,20,41.00635576248169
dinov2_s,3,0.0528524176967489,0.00024637986919592923,0.06901446338165725,-0.016162045684908345,20,38.13179063796997
dinov2_s,4,0.05334236559432104,0.00029254694608461584,0.06901053506516384,-0.0156681694708428,20,40.99360990524292
dinov2_s,5,0.052776646107383036,0.00027012574720420424,0.06896609859491408,-0.016189452487531036,20,40.24352264404297
dinov2_s,6,0.053269920264199376,0.00018706310811761472,0.06904274802294477,-0.015772827758745396,20,45.606126070022576
dinov2_s,7,0.052920991999147904,0.00017139588090654922,0.06903660697357948,-0.016115614974431564,20,48.298040866851814
dinov2_s,8,0.052186330644487064,0.00017822469407110354,0.06898118858124926,-0.0167948579367622,20,42.91986680030823
dinov2_s,9,0.053292485701705285,0.00021840539510854069,0.06898204177696166,-0.015689556075256364,20,45.29421949386597
dinov2_s,10,0.052999370465180426,0.00025772938862502815,0.06901471972446177,-0.016015349259281345,20,38.04394435882568
dinov2_s,11,0.05247125444537528,0.00023267554935253143,0.06898903466161929,-0.016517780216244008,20,35.062437057495124
dinov2_s,12,0.052572043292271935,0.0002189044463161487,0.06905137404566389,-0.01647933075339196,20,34.093109369277954
dinov2_s,13,0.0528601011529028,0.00030848774872554866,0.06897458539199346,-0.016114484239090662,20,34.58539986610413
dinov2_s,14,0.05244760840044577,0.00021668283709845468,0.06899556429899198,-0.016547955898546213,20,35.25858283042908
dinov2_s,15,0.05295754085825756,0.00026733974614631033,0.06895429582939623,-0.015996754971138685,20,35.285769462585456
dinov2_s,16,0.05280850111127825,0.0002065663068808387,0.06892071013357623,-0.01611220902229796,20,37.610755443573
dinov2_s,17,0.053234234661178784,0.0002834289199314242,0.06897604349405427,-0.0157418088328755,20,28.53380990028381
dinov2_s,18,0.052860482113987535,0.00021027895568294104,0.06898775692399266,-0.016127274810005116,20,21.174144744873047
dinov2_s,19,0.052578994807592885,0.0002685660819133541,0.06898590149339225,-0.016406906685799354,20,28.669670581817627
dinov2_s,20,0.05330418010623776,0.0003364823198228577,0.06896615576756322,-0.015661975661325468,20,33.816348791122444
dinov2_s,21,0.05335714627009792,0.00025072749592751933,0.06899904530115718,-0.015641899031059253,20,21.71444869041443
dinov2_s,22,0.05268216352382592,0.00023072769610454335,0.06896031020459104,-0.016278146680765118,20,20.14697933197021
dinov2_s,23,0.05326345633303185,0.0002263166223528543,0.06900174449364901,-0.015738288160617158,20,20.736221790313717
dinov2_s,24,0.052164897826851436,0.0002433515607666194,0.06898214407895145,-0.01681724625210001,20,20.116150617599487
dinov2_s,25,0.05307082976638696,0.0002881759369114076,0.06896976250905712,-0.015898932742670173,20,19.085511922836304
dinov2_s,26,0.052460930068660885,0.0002651515589443322,0.06901049174839438,-0.01654956167973349,20,19.16041851043701
dinov2_s,27,0.05240869201261929,0.0001910932260076448,0.06899277282350566,-0.016584080810886373,20,18.938152074813843
dinov2_s,28,0.052442763943217514,0.0002504419156915253,0.06905354863375028,-0.01661078469053276,20,18.650359869003296
dinov2_s,29,0.05261994183744545,0.0001954780821365904,0.06901042328704815,-0.0163904814496027,20,17.90628004074097
i21k_b,-1,0.05393620095877087,0.00019941582908156085,0.07041655178981096,-0.016480350831040092,20,59.29642128944397
i21k_b,0,0.054299847910280266,0.0002182070586776435,0.0698515098730139,-0.015551661962733632,20,59.87726402282715
i21k_b,1,0.05339072147402886,0.00021058767276872268,0.06983119513238427,-0.016440473658355426,20,60.80470728874207
i21k_b,2,0.05386366429172272,0.00020140288768406216,0.06990823548238405,-0.016044571190661334,20,61.38955307006836
i21k_b,3,0.05453911483457483,0.00023391267278353336,0.07003780610540687,-0.015498691270832041,20,68.3714542388916
i21k_b,4,0.054773308753762205,0.00021969114331409355,0.07007891629429343,-0.015305607540531225,20,64.88787078857422
i21k_b,5,0.053908014154263835,0.0001726628476759634,0.06995546652438088,-0.016047452370117024,20,59.39314842224121
i21k_b,6,0.05423244716444578,0.00023452380871506162,0.06988206110204691,-0.015649613937601118,20,61.22404718399048
i21k_b,7,0.05323030714008605,0.00018818384331033522,0.06990100965718024,-0.016670702517094196,20,58.4695508480072
