cloud,frame,seed,dec_seed,depth,z,star_sd,time_s,built
synthetic_flat_vitl_spectrum,balanced,2,3,-0.013135884215702056,-2.0202944957482187,0.0021428179722258675,369.9192264080048,wn30
synthetic_flat_vitl_spectrum,balanced,2,4,-0.012244165481719709,-2.284497774355657,0.0026253898477315986,360.3474743366242,wn30
synthetic_flat_vitl_spectrum,balanced,2,5,-0.01031930404396996,-2.3278349712452067,0.002201048584294177,371.22136855125433,wn30
synthetic_flat_vitl_spectrum,balanced,2,6,-0.013598722795866007,-2.05769399284308,0.0029633523599949386,355.46863651275635,wn30
synthetic_flat_vitl_spectrum,balanced,2,7,-0.012881738043514309,-2.190407193879913,0.001830394786242447,345.83533120155334,wn30
synthetic_flat_vitl_spectrum,balanced,2,8,-0.012539968176869469,-2.0949840446393666,0.002941422895478072,352.6494734287262,wn30
synthetic_flat_vitl_spectrum,balanced,2,9,-0.009933700330777407,-1.6962256672406342,0.002523299465445586,323.59423685073847,wn30
synthetic_flat_vitl_spectrum,balanced,3,-1,-0.02524124574178216,-3.3129222047626627,0.0036224027542360545,136.58503198623654,wn30
synthetic_flat_vitl_spectrum,balanced,3,0,-0.014428039998898376,-2.7066000819984812,0.002624077911815139,175.49584364891052,wn30
synthetic_flat_vitl_spectrum,balanced,3,1,-0.014195935754683506,-1.7361957646430748,0.0043554709601601686,182.11057353019714,wn30
synthetic_flat_vitl_spectrum,balanced,3,2,-0.01529917123841316,-3.7480793122616594,0.0021165775668316946,272.54327583312994,wn30
synthetic_flat_vitl_spectrum,balanced,3,3,-0.01314473596031263,-2.631356093488613,0.0019097641972692845,360.5027596950531,wn30
synthetic_flat_vitl_spectrum,balanced,3,4,-0.013224611974283323,-1.7334691759588812,0.004134727484903179,377.1471576690674,wn30
synthetic_flat_vitl_spectrum,balanced,3,5,-0.015456220191889162,-2.8631472518332206,0.0022208386982094735,360.5867416858673,wn30
synthetic_flat_vitl_spectrum,balanced,3,6,-0.015566099900554,-2.396030031222991,0.002428934140159184,366.3694818019867,wn30
synthetic_flat_vitl_spectrum,balanced,3,7,-0.016399779843015355,-2.8457613425596966,0.0024275538587268173,358.9831893444061,wn30
synthetic_flat_vitl_spectrum,balanced,3,8,-0.014568676089308138,-2.5491116213980693,0.0036254608786185976,365.34928512573237,wn30
synthetic_flat_vitl_spectrum,balanced,3,9,-0.012305745389905608,-2.4382159598848308,0.002275607746134351,306.49709010124207,wn30
synthetic_flat_vitl_spectrum,balanced,4,-1,-0.021913538981732303,-2.870480153770605,0.0030085012478024663,132.61867094039914,wn30
synthetic_flat_vitl_spectrum,balanced,4,0,-0.015239588678488371,-2.2412628917032937,0.0029653053328863805,174.39034342765808,wn30
synthetic_flat_vitl_spectrum,balanced,4,1,-0.01083543811190248,-1.7567237575307004,0.0025200315628867197,167.69473695755002,wn30
synthetic_flat_vitl_spectrum,balanced,4,2,-0.012525237992761364,-2.5972477451063503,0.0023904811602839552,272.9629707336426,wn30
synthetic_flat_vitl_spectrum,balanced,4,3,-0.013647642956094537,-2.670355550571705,0.0029970262094519908,366.6145758628845,wn30
