model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s,delta_sup_exp19,excess_sup_exp19,nc_adv_pp,nc_R,nc_H
clip_l,500,random,0,0.0760641199335045,0.00022019107938305878,0.08969134277323296,0.004653587514650571,-0.013627222839728462,199,0.009950248756218905,248.8152756690979,0.11272057885770954,-0.03131703504798156,-0.3120000000000012,0.80496,0.80184
clip_l,500,random,1,0.078044723154265,0.00034460009326914065,0.08930269381803246,0.004643379674281685,-0.011257970663767464,198,0.01492537313432836,195.1150574684143,0.11247401720013817,-0.030318115822703332,-0.2360000000000029,0.81284,0.81048
clip_l,1000,random,0,0.07603490956647023,0.00028942422421858796,0.08512123137872084,0.004356511235507545,-0.009086321812250622,197,0.01990049751243781,305.23240447044367,0.11233999629503336,-0.02254563418060947,-0.5299999999999971,0.75052,0.74522
dinov2_g,10,coherent,0,0.04151686737657799,0.0,0.16327337140471393,0.020044832534551145,-0.12175650402813595,200,0.0049751243781094535,91.7109920978546,0.04151809687051501,-0.12547561465369733,0.0,0.818,0.818
dinov2_g,10,coherent,1,0.03599458762143613,0.0,0.17491506377132265,0.02147115490802133,-0.1389204761498865,200,0.0049751243781094535,96.20067167282104,0.03599537389639998,-0.14793250070504455,-3.199999999999992,0.826,0.794
dinov2_g,10,coherent,2,0.11760853356210572,0.0,0.15417714429810414,0.019779664538285262,-0.03656861073599845,195,0.02985074626865672,100.16954684257507,0.11761012219362675,-0.051781100348405,0.20000000000000015,0.9079999999999999,0.91
dinov2_g,10,coherent,3,0.033714347397167936,0.0,0.16202854251313556,0.027644086158964784,-0.12831419511596762,200,0.0049751243781094535,101.51325511932372,0.033714369830669666,-0.11297858048762703,0.4000000000000004,0.968,0.972
dinov2_g,10,coherent,4,0.13072534613402426,2.7755575615628914e-17,0.18107900906204316,0.019947805574805688,-0.050353662928018884,199,0.009950248756218905,105.04069828987122,0.13072970077175255,-0.03296425747180182,-0.20000000000000015,0.828,0.826
dinov2_g,10,random,0,0.03316618084975319,6.938893903907227e-18,0.16552975155678992,0.02540429175066526,-0.13236357070703675,200,0.0049751243781094535,98.34037637710571,0.033165885376743934,-0.12200299171373248,1.19999999999999,0.9259999999999999,0.938
dinov2_g,10,random,1,0.028176377760487783,6.938893903907227e-18,0.15972035310286675,0.026816537153149824,-0.13154397534237894,200,0.0049751243781094535,103.76856255531312,0.02817644914531509,-0.1229369226911741,0.20000000000000015,0.9740000000000001,0.976
