model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov1_b,imagenet,10,aniso,10,-0.007533975402010673,-0.0011380655632115765,0.0020591166194876475,-0.006395909838799096,-0.623411932786316,0.11314413824770322,0.005554511413452446,82.20840406417847
dinov1_b,imagenet,60,iso,10,-0.009303532512162843,-0.0031932365353372558,0.0021321910406677165,-0.0061102959768255865,-0.7636420114406629,0.11314413824770322,0.005554511413452446,67.49860835075378
dinov1_b,imagenet,60,aniso,10,-0.009303532512162843,0.0011467435901956855,0.005343664211766045,-0.01045027610235853,-1.1137955412850982,0.11314413824770322,0.005554511413452446,81.50037050247192
dinov2_s,imagenet,30,iso,10,0.008942481107964959,-0.001579893270231933,0.002486975962395288,0.010522374378196891,0.9443502443766532,0.118540418659274,0.010082760431329104,62.97253251075745
dinov2_s,imagenet,30,aniso,10,0.008942481107964959,0.001209639009569112,0.004286646317407699,0.0077328420983958455,0.6622476122330512,0.118540418659274,0.010082760431329104,60.37292671203613
dinov2_s,imagenet,10,iso,10,0.002094888181476115,-0.0027360539387515635,0.0026922433593081765,0.004830942120227678,0.3683835251161905,0.118540418659274,0.010082760431329104,45.05168986320496
dinov2_s,imagenet,10,aniso,10,0.002094888181476115,-0.0013108797194796018,0.002511670265300897,0.0034057679009557172,0.2604193101992299,0.118540418659274,0.010082760431329104,47.471448183059685
dinov2_s,imagenet,60,iso,10,0.007737250989879137,-0.0007568084377419321,0.002995942779621678,0.00849405942762107,0.7700807342511574,0.118540418659274,0.010082760431329104,43.87431764602661
dinov2_s,imagenet,60,aniso,10,0.007737250989879137,0.0006631191573904278,0.0046793678257990344,0.007074131832488709,0.6097852875344979,0.118540418659274,0.010082760431329104,58.544597864151
dinov2_b,imagenet,30,iso,10,-0.01372957148430555,-0.002721110774754007,0.001201693612033327,-0.011008460709551544,-0.9266335588212268,0.09264803677029444,0.010022778245263935,79.76351475715637
dinov2_b,imagenet,30,aniso,10,-0.01372957148430555,0.0019217242683450691,0.005757513183257386,-0.015651295752650618,-1.1904942991902543,0.09264803677029444,0.010022778245263935,81.94836616516112
dinov2_b,imagenet,10,iso,10,-0.010091630572314313,-0.007328792070705409,0.0015190514873945331,-0.002762838501608901,-0.181245616800224,0.09264803677029444,0.010022778245263935,80.17355918884276
dinov2_b,imagenet,10,aniso,10,-0.010091630572314313,-0.002645744130029762,0.005296430285415321,-0.00744588644228455,-0.4634596337099494,0.09264803677029444,0.010022778245263935,80.4421901702881
dinov2_b,imagenet,60,iso,10,-0.011596015545413882,-0.0014965076085618873,0.0007906117336793477,-0.010099507936851994,-0.8281954222282423,0.09264803677029444,0.010022778245263935,80.57800793647765
dinov2_b,imagenet,60,aniso,10,-0.011596015545413882,-0.001774840469050702,0.004943796340517748,-0.00982117507636318,-0.7477190266252957,0.09264803677029444,0.010022778245263935,73.46663784980773
dinov2_l,imagenet,30,iso,10,-0.02741691707740936,-0.0035969449389710757,0.0007935426951581791,-0.02381997213843828,-2.2706414306699854,0.07059325784273303,0.007479214010511662,84.46384263038634
dinov2_l,imagenet,30,aniso,10,-0.02741691707740936,0.0003011612908869504,0.005032419098367549,-0.02771807836829631,-2.3878543686819467,0.07059325784273303,0.007479214010511662,87.43693780899048
dinov2_l,imagenet,10,iso,10,-0.023308657223686743,-0.010098409133090937,0.0019265488531345508,-0.013210248090595813,-0.8440569785578208,0.07059325784273303,0.007479214010511662,95.97931051254272
dinov2_l,imagenet,10,aniso,10,-0.023308657223686743,-0.0030545127713572807,0.006674635245543781,-0.020254144452329464,-1.1980932068047778,0.07059325784273303,0.007479214010511662,98.7833776473999
dinov2_l,imagenet,60,iso,10,-0.01214229177312165,-0.001509492673954051,0.001693949249346928,-0.010632799099167598,-1.328552710938762,0.07059325784273303,0.007479214010511662,72.91338491439821
dinov2_l,imagenet,60,aniso,10,-0.01214229177312165,-0.0012412135408565925,0.0038343330942379305,-0.010901078232265058,-1.2513834702315632,0.07059325784273303,0.007479214010511662,55.24036455154419
dinov2_g,cifar100,20,iso,10,-0.002875470876147715,-0.02928573776052513,0.0015682340070100624,0.026410266884377417,3.7646064819862013,0.06984616018097747,0.0024350977219956943,21.31104516983032
