model,dataset,b,n_per_class,delta,excess
dinov2_l,cifar100,20,500,0.09887656031911073,-0.04700360721319778
dinov2_l,cifar100,21,500,0.09649970458401236,-0.04963972542173159
dinov2_l,cifar100,22,500,0.0972636282602502,-0.048664200890653764
dinov2_l,cifar100,23,500,0.09925447125126348,-0.04675437827663366
dinov2_l,cifar100,24,500,0.09778860879314362,-0.048068264441655364
dinov2_l,cifar100,25,500,0.09731007454321945,-0.04856133631596733
dinov2_l,cifar100,26,500,0.0972649837836505,-0.04874918898628619
dinov2_l,cifar100,27,500,0.09510845439412334,-0.050763001146940004
dinov2_l,cifar100,28,500,0.09954625751515629,-0.046542189274219145
dinov2_l,cifar100,29,500,0.09480764268637687,-0.051010765756587195
dinov2_g,cifar100,-1,500,0.07011428546530092,-0.07639588261870113
dinov2_g,cifar100,0,500,0.06908238390638853,-0.07725204549356131
dinov2_g,cifar100,1,500,0.07018686859446865,-0.07611840389048535
dinov2_g,cifar100,2,500,0.06823070277073064,-0.07805558923649732
dinov2_g,cifar100,3,500,0.06910057953567164,-0.07732331608920343
dinov2_g,cifar100,4,500,0.06894179409952617,-0.07742462650176812
dinov2_g,cifar100,5,500,0.06860655959632839,-0.07799021030166572
dinov2_g,cifar100,6,500,0.0677264023766158,-0.07875605968343453
dinov2_g,cifar100,7,500,0.06690770036429027,-0.07962651572745551
dinov2_g,cifar100,8,500,0.07096375586545671,-0.07552776282356312
dinov2_g,cifar100,9,500,0.06904312345429973,-0.0774080193371759
dinov2_g,cifar100,10,500,0.0709556360275931,-0.07560295470964072
dinov2_g,cifar100,11,500,0.06878273909420707,-0.0778330747186668
dinov2_g,cifar100,12,500,0.06864645944398766,-0.07797708223626361
dinov2_g,cifar100,13,500,0.06560563921081287,-0.08071187695904662
dinov2_g,cifar100,14,500,0.07327142522521182,-0.07309423873106388
dinov2_g,cifar100,15,500,0.06393057948514574,-0.08249751303039862
dinov2_g,cifar100,16,500,0.06794340050204196,-0.07853866344719841
dinov2_g,cifar100,17,500,0.07153575590236001,-0.07490763012034395
dinov2_g,cifar100,18,500,0.07055246746363504,-0.07566052835601285
dinov2_g,cifar100,19,500,0.06569842334829089,-0.08060942722765137
dinov2_g,cifar100,20,500,0.06773145732957317,-0.0785740687136206
dinov2_g,cifar100,21,500,0.06841465829334396,-0.07797082199079806
dinov2_g,cifar100,22,500,0.06884119663232054,-0.0774938451212303
dinov2_g,cifar100,23,500,0.06967168073800512,-0.07673370557281134
dinov2_g,cifar100,24,500,0.07110945126988479,-0.07519962028020709
dinov2_g,cifar100,25,500,0.0695224357549012,-0.07698040306660246
dinov2_g,cifar100,26,500,0.06607138785733932,-0.08048043640298089
dinov2_g,cifar100,27,500,0.06497574078402864,-0.08145619084188403
dinov2_g,cifar100,28,500,0.07013035743975998,-0.07624407904299235
dinov2_g,cifar100,29,500,0.0677001837142842,-0.07870152914439839
