epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
2,700,10709,84.3,0.98046875,0.0962,1e-05,1790095756.3028364
2,750,10759,84.2,0.98828125,0.043,1e-05,1790095911.8322682
2,800,10809,84.0,0.95703125,0.212,1e-05,1790096069.1011343
2,850,10859,83.7,0.96484375,0.1745,1e-05,1790096232.1754625
2,900,10909,83.3,0.9921875,0.0163,1e-05,1790096397.5839934
2,950,10959,82.9,0.98828125,0.0734,1e-05,1790096564.0895119
2,1000,11009,82.6,0.953125,0.2204,1e-05,1790096730.2105675
2,1050,11059,82.4,0.95703125,0.2114,1e-05,1790096894.683491
2,1100,11109,82.1,0.98046875,0.1042,1e-05,1790097060.0407028
2,1150,11159,82.0,0.9765625,0.0595,1e-05,1790097221.877964
2,1200,11209,81.9,0.98828125,0.0529,1e-05,1790097380.5683732
2,1250,11259,82.0,0.98046875,0.0864,1e-05,1790097534.7678566
2,1300,11309,81.9,0.9765625,0.1113,1e-05,1790097696.3958287
2,1350,11359,81.7,0.96875,0.1212,1e-05,1790097859.7449188
2,1400,11409,81.7,0.94140625,0.2381,1e-05,1790098020.669497
2,1450,11459,81.6,0.91796875,0.2812,1e-05,1790098182.655487
2,1500,11509,81.5,0.9453125,0.1789,1e-05,1790098346.3283293
2,1550,11559,81.3,0.96484375,0.0974,1e-05,1790098512.605573
2,1600,11609,81.2,0.94140625,0.3185,1e-05,1790098677.3938797
2,1650,11659,81.1,0.96875,0.1165,1e-05,1790098840.0557456
2,1700,11709,81.0,0.9609375,0.1017,1e-05,1790099002.8187742
2,1750,11759,80.9,0.94921875,0.1246,1e-05,1790099166.099669
2,1800,11809,80.9,0.94140625,0.2097,1e-05,1790099330.5308552
2,1850,11859,80.8,0.9765625,0.0884,1e-05,1790099493.2673597
2,1900,11909,80.8,0.9765625,0.082,1e-05,1790099653.179238
2,1950,11959,80.8,0.953125,0.2402,1e-05,1790099813.2004628
2,2000,12009,80.8,0.9296875,0.4549,1e-05,1790099970.1063108
2,2050,12059,80.8,0.96875,0.1335,1e-05,1790100128.8574255
2,2100,12109,80.8,0.9765625,0.1214,1e-05,1790100286.9315608
2,2150,12159,80.7,0.984375,0.1108,1e-05,1790100449.5888262
2,2200,12209,80.7,0.953125,0.1885,1e-05,1790100614.7543304
2,2250,12259,80.6,0.96875,0.0771,1e-05,1790100778.5531158
2,2300,12309,80.6,0.953125,0.1142,1e-05,1790100936.3056788
2,2350,12359,80.6,0.95703125,0.1163,1e-05,1790101098.0707529
2,2400,12409,80.5,0.90234375,0.5814,1e-05,1790101265.75568
2,2450,12459,80.5,0.96875,0.1262,1e-05,1790101427.6907315
2,2500,12509,80.4,0.9609375,0.118,1e-05,1790101591.9654727
2,2550,12559,80.4,0.9453125,0.1375,1e-05,1790101753.3955052
2,2600,12609,80.3,0.94921875,0.1987,1e-05,1790101915.6130111
2,2650,12659,80.3,0.921875,0.3236,1e-05,1790102076.921567
2,2700,12709,80.3,0.984375,0.045,1e-05,1790102238.2735317
2,2750,12759,80.3,0.9765625,0.1041,1e-05,1790102401.9223342
2,2800,12809,80.3,0.93359375,0.3368,1e-05,1790102563.260541
2,2850,12859,80.2,0.9765625,0.0825,1e-05,1790102724.8954356
2,2900,12909,80.2,0.9921875,0.0658,1e-05,1790102883.6512368
2,2950,12959,80.3,0.97265625,0.1089,1e-05,1790103040.800448
2,3000,13009,80.2,0.91015625,0.4406,1e-05,1790103204.532271
2,3050,13059,80.2,0.984375,0.0635,1e-05,1790103370.7334313
2,3100,13109,80.1,0.9609375,0.1404,1e-05,1790103535.2191396
2,3150,13159,80.1,0.94921875,0.1413,1e-05,1790103695.047129
2,3200,13209,80.1,0.91796875,0.369,1e-05,1790103855.9167051
2,3250,13259,80.1,0.94921875,0.2722,1e-05,1790104016.9556115
2,3300,13309,80.1,0.9609375,0.1452,1e-05,1790104179.449617
2,3350,13359,80.1,0.9453125,0.2821,1e-05,1790104341.6135595
2,3400,13409,80.1,0.9453125,0.28,1e-05,1790104504.59458
2,3450,13459,80.0,0.97265625,0.1113,1e-05,1790104668.6835804
2,3500,13509,80.0,0.9609375,0.1943,1e-05,1790104830.9778957
2,3550,13559,80.0,0.9765625,0.1015,1e-05,1790104993.0027955
2,3600,13609,79.9,0.92578125,0.3549,1e-05,1790105159.5702772
2,3650,13659,79.9,0.9453125,0.2276,1e-05,1790105321.371418
2,3700,13709,79.9,0.9375,0.2057,1e-05,1790105483.8512783
2,3750,13759,79.9,0.96875,0.1047,1e-05,1790105646.3252518
2,3800,13809,79.9,0.90625,0.4327,1e-05,1790105806.1844554
2,3850,13859,79.9,0.93359375,0.337,1e-05,1790105966.1223586
2,3900,13909,79.9,0.9765625,0.1155,1e-05,1790106126.4351346
2,3950,13959,79.9,0.9765625,0.0826,1e-05,1790106290.772511
2,4000,14009,79.9,0.94140625,0.2592,1e-05,1790106454.5107563
2,4050,14059,79.9,0.9375,0.2261,1e-05,1790106614.0546865
2,4100,14109,79.9,0.94140625,0.1908,1e-05,1790106775.45198
2,4150,14159,79.8,0.95703125,0.1379,1e-05,1790106939.6891055
2,4200,14209,79.8,0.92578125,0.3099,1e-05,1790107103.3515596
