level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
star,20,0.1,aniso,100,1,-0.10328425865334707,-0.09778004256241378,-0.00550421609093331,-0.2569827892961158,12.16901683807373
star,20,0.1,aniso,100,2,-0.09391590275374503,-0.09967402496307116,0.0057581222093261155,0.2719844726699183,12.167145013809204
star,20,0.1,aniso,100,3,-0.09423117493374514,-0.0972850421262416,0.003053867192496465,0.13700128118906074,12.164138555526733
star,20,0.1,aniso,100,4,-0.09466855762334868,-0.10003278852282428,0.005364230899475575,0.2480057274939492,12.10442590713501
star,20,0.1,aniso,1000,0,-0.1018088714177377,-0.09816870479883072,-0.003640166618906968,-0.1718991355841734,34.84646153450012
star,20,0.1,aniso,1000,1,-0.10405369356792994,-0.09800409190824098,-0.006049601659688944,-0.29244052821813504,35.26873016357422
star,20,0.1,aniso,1000,2,-0.09025826931739664,-0.09851717346430626,0.008258904146909607,0.38498268125240137,35.05177617073059
star,20,0.1,aniso,1000,3,-0.09102930266880586,-0.09836908094695446,0.0073397782781485935,0.3532447123656451,35.444552898406975
star,20,0.1,aniso,1000,4,-0.09710141754666872,-0.09827719908819144,0.0011757815415227026,0.056368407505052336,35.87226867675781
star,20,0.3,iso,100,0,-0.09003759911283139,-0.09036193671816584,0.00032433760533444317,0.016655827247515298,9.775886774063109
star,20,0.3,iso,100,1,-0.09498211453576624,-0.08791116065364618,-0.007070953882120076,-0.3565960542478409,9.800926685333252
star,20,0.3,iso,100,2,-0.08235354562933442,-0.09243565775567382,0.0100821121263394,0.5328716469901297,9.977918386459349
star,20,0.3,iso,100,3,-0.08549240378258566,-0.0873633784053443,0.0018709746227586481,0.09578508835915094,10.019899845123293
star,20,0.3,iso,100,4,-0.08805549163740096,-0.0927487136983222,0.004693222060921236,0.2454837836791719,10.073088884353636
star,20,0.3,iso,1000,0,-0.08648157438663723,-0.08532226853838827,-0.0011593058482489565,-0.06408438323056932,34.37403631210327
star,20,0.3,iso,1000,1,-0.0920727665093169,-0.08630744102734905,-0.005765325481967842,-0.3131750343917554,34.63846206665039
star,20,0.3,iso,1000,2,-0.08261405447211004,-0.08606503407456301,0.0034509796024529693,0.1994248257584633,33.68354034423828
star,20,0.3,iso,1000,3,-0.08122986738280065,-0.0861132043177986,0.004883336934997956,0.28158318571399304,33.906163215637214
star,20,0.3,iso,1000,4,-0.08551276956765384,-0.08641939345604475,0.0009066238883909117,0.05205476607721229,33.42746376991272
star,20,0.3,aniso,100,0,-0.0871481471854243,-0.09001851588367889,0.002870368698254591,0.15101272291307416,12.201237916946411
star,20,0.3,aniso,100,1,-0.08579709033363149,-0.08858272135025241,0.002785631016620924,0.15543630159085375,12.116263389587402
star,20,0.3,aniso,100,2,-0.08411288471789778,-0.09141546859412608,0.0073025838762283,0.38126568465113975,12.05207896232605
star,20,0.3,aniso,100,3,-0.08447045725899324,-0.08837412398596689,0.0039036667269736476,0.18346660089498945,12.160184383392336
star,20,0.3,aniso,100,4,-0.0865163738880492,-0.09316743005781274,0.006651056169763539,0.3534758908359152,12.0700843334198
star,20,0.3,aniso,1000,0,-0.07615470671730475,-0.08488899658724602,0.008734289869941278,0.4751048345313336,35.991873979568474
star,20,0.3,aniso,1000,1,-0.07663332731627895,-0.08610577862624258,0.009472451309963615,0.5330331687070741,35.715854167938225
star,20,0.3,aniso,1000,2,-0.0776827600418358,-0.08566804818976166,0.00798528814792586,0.4644226956117302,35.5732831954956
star,20,0.3,aniso,1000,3,-0.07672410722791419,-0.08590299178134082,0.009178884553426636,0.5571470972916648,35.245915412902825
