model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s,genuine,p_bh,genuine_bh,record_excess,record_genuine_bh,verdict_changed
dinov2_l,cifar100,haar_centered,p999,100,1024,0.036464683107390115,0.00016461804818072786,0.07056766065420456,0.0015375391177254456,-0.03410297754681444,-22.054189446622075,200,0.0049751243781094535,202.30145955085754,True,0.01085481682496608,True,-0.03483349695675417,True,False
dinov2_g,cifar100,haar_centered,p999,100,1536,0.030008624669895567,0.00014585741071636364,0.06876804142993084,0.001345851239345967,-0.03875941676003528,-28.631531819171535,200,0.0049751243781094535,203.66706609725952,True,0.01085481682496608,True,-0.039549440949580975,True,False
clip_b,cifar100,haar_centered,p999,100,512,0.1009863390958035,0.00035877607415080425,0.12029581323884578,0.006201565584993521,-0.019309474143042283,-3.1084475707009425,200,0.0049751243781094535,187.72509741783142,True,0.01085481682496608,True,-0.019453584326126844,True,False
clip_l,cifar100,haar_centered,p999,100,768,0.09706439934187908,0.0005306858483585809,0.11499875921034958,0.004973361477014872,-0.017934359868470487,-3.5857281761113025,200,0.0049751243781094535,156.25957584381104,True,0.01085481682496608,True,-0.0180952897441592,True,False
siglip_b,cifar100,haar_centered,p999,100,768,0.09781604158699787,0.0005469030512733434,0.11961326342318915,0.004983521175387949,-0.021797221836191292,-4.347757108801241,200,0.0049751243781094535,141.08201122283938,True,0.01085481682496608,True,-0.02196548191386928,True,False
i21k_t,cifar10,haar_centered,p999,10,192,0.12219879620197655,0.0,0.13381171815967946,0.017901766526271814,-0.01161292195770286,-0.6487025702553023,148,0.263681592039801,186.14496755599976,False,0.3062108810784786,False,-0.021345449935569027,False,False
i21k_s,cifar10,haar_centered,p999,10,384,0.0859252978448907,1.3877787807814454e-17,0.12788515458058833,0.017220716169985432,-0.04195985673569763,-2.436591853759885,199,0.009950248756218905,167.73824572563169,True,0.01936264622831787,True,-0.05594556905389561,True,False
i21k_b,cifar10,haar_centered,p999,10,768,0.08912335947310047,0.0,0.12681872799622618,0.018076197752547637,-0.0376953685231257,-2.085359379176573,196,0.02487562189054726,169.74269580841062,True,0.042643923240938165,True,-0.04990709922565127,True,False
i21k_l,cifar10,haar_centered,p999,10,1024,0.08357815749110106,1.3877787807814454e-17,0.12039374007281005,0.015009375840919076,-0.03681558258170898,-2.4528390102232684,200,0.0049751243781094535,157.24474692344666,True,0.01085481682496608,True,-0.059614541385513815,True,False
dinov1_b,cifar10,haar_centered,p999,10,768,0.08839522628605256,0.0,0.1303510200589878,0.017457312638708044,-0.041955793772935235,-2.4033363348209043,199,0.009950248756218905,161.51491785049436,True,0.01936264622831787,True,-0.06135923534105675,True,False
