model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_b,imagenet,29,1000,0.05462060856055575,0.00019235113473830792,0.06981112454318956,0.002715240798651286,-0.015190515982633816,50,0.0196078431372549,50,145.47745370864868
i21k_l,imagenet,-1,1000,0.05545452090601352,0.00017080526901697715,0.07127889125116045,0.002830004744158465,-0.015824370345146936,50,0.0196078431372549,50,188.0265686511993
i21k_l,imagenet,0,1000,0.05500449071209298,0.00016055026052825202,0.07066909819031107,0.002787672187552785,-0.015664607478218094,50,0.0196078431372549,50,193.1413946151733
i21k_l,imagenet,1,1000,0.05475058937278902,0.0001530106571421689,0.07069771074427039,0.0027811288386713124,-0.015947121371481375,50,0.0196078431372549,50,165.22787380218506
i21k_l,imagenet,2,1000,0.05501872187493472,0.0001348271306559984,0.07070960059700096,0.002785442921230701,-0.015690878722066245,50,0.0196078431372549,50,143.20759892463684
i21k_l,imagenet,3,1000,0.05514181431840034,0.0001381659044433193,0.07074357935516815,0.002788755805531606,-0.01560176503676781,50,0.0196078431372549,50,142.43438363075256
i21k_l,imagenet,4,1000,0.05469953915960807,0.00018366403621817933,0.07080633731623326,0.0027943237156552035,-0.01610679815662519,50,0.0196078431372549,50,176.60973906517032
i21k_l,imagenet,5,1000,0.0553162938005228,0.0001720031751680701,0.07067749773114512,0.0027755201903660394,-0.015361203930622324,50,0.0196078431372549,50,159.11456489562988
i21k_l,imagenet,6,1000,0.05479142754521865,0.00013823977031245018,0.07071900601353094,0.002781143327889748,-0.01592757846831229,50,0.0196078431372549,50,160.3209285736084
i21k_l,imagenet,7,1000,0.054452750280631436,0.00013902893015579218,0.07073107776815657,0.002779017857171068,-0.016278327487525134,50,0.0196078431372549,50,138.8397455215454
i21k_l,imagenet,8,1000,0.0548230910717798,0.00024558627893605183,0.0707280974631293,0.002780360954003461,-0.015905006391349508,50,0.0196078431372549,50,179.54176473617554
i21k_l,imagenet,9,1000,0.05436938499847825,0.00020495468801255475,0.07062787934895635,0.002788613744430277,-0.016258494350478103,50,0.0196078431372549,50,185.97896909713745
i21k_l,imagenet,10,1000,0.05538766107861417,0.00019575679094898133,0.0707077344190543,0.002787911763427004,-0.015320073340440131,50,0.0196078431372549,50,174.75384426116943
i21k_l,imagenet,11,1000,0.0553371972734857,0.0001958999612266718,0.07080791016482453,0.002784560777878573,-0.01547071289133884,50,0.0196078431372549,50,167.96650385856628
i21k_l,imagenet,12,1000,0.0549006099072847,0.00012238173885625989,0.07080414448325421,0.0027888137553448906,-0.015903534575969512,50,0.0196078431372549,50,167.0942761898041
i21k_l,imagenet,13,1000,0.05514793507409392,0.00014895582229462216,0.07071350145248964,0.0027833143558990865,-0.015565566378395727,50,0.0196078431372549,50,189.8602664470673
i21k_l,imagenet,14,1000,0.05499310237636799,0.00018604648602350268,0.07063549438568803,0.0027848037807117892,-0.015642392009320043,50,0.0196078431372549,50,188.28849053382874
i21k_l,imagenet,15,1000,0.054358406155579866,0.00022497927553335586,0.07074663747295246,0.0027930660705529423,-0.016388231317372583,50,0.0196078431372549,50,187.05145835876462
