level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier2,6,0.3,iso,1000,1,-0.10787226313926342,-0.0977528116611226,-0.01011945147814082,-0.334432197512911,38.30197048187256
hier2,6,0.3,iso,1000,2,-0.10704734722898746,-0.09762666415682253,-0.009420683072164926,-0.3163601745279666,39.04452300071716
hier2,6,0.3,iso,1000,3,-0.10018536669654926,-0.09893502051054365,-0.001250346186005613,-0.0399096774858186,39.41971755027771
hier2,6,0.3,iso,1000,4,-0.10106224066086464,-0.09522401723794831,-0.0058382234229163305,-0.1987106189689277,40.62681722640991
hier2,6,0.3,aniso,100,0,-0.07685233280064147,-0.10873289325801157,0.0318805604573701,1.1113882025873194,15.273003339767456
hier2,6,0.3,aniso,100,1,-0.07007970512339318,-0.10617771879519348,0.03609801367180031,1.0721318410172311,15.051710605621338
hier2,6,0.3,aniso,100,2,-0.09690512210603504,-0.10896326960508522,0.012058147499050181,0.37799847604605713,14.7395339012146
hier2,6,0.3,aniso,100,3,-0.0955521737196641,-0.10764572971310758,0.012093555993443486,0.3900238047430318,15.469857215881348
hier2,6,0.3,aniso,100,4,-0.09198585780510307,-0.10324359540152651,0.011257737596423442,0.36089163390783446,14.964377164840698
hier2,6,0.3,aniso,1000,0,-0.07625184769700903,-0.09579579535029563,0.019543947653286597,0.6611078814693485,43.513330936431885
