model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
dinov2_l,100,coherent,4,0.11252451765366867,0.00834918713605657,0.1450410284645116,-0.03251651081084295,0.8652,0.8722,0.7000000000000006,5000,1.914708137512207
dinov2_l,200,random,0,0.061084232705351606,0.015244156542918025,0.11597912569394837,-0.05489489298859677,0.8813,0.8978,1.650000000000007,10000,3.3335602283477783
dinov2_l,200,random,1,0.05591255593674406,0.0039160028105702975,0.11607447760987709,-0.06016192167313303,0.8865,0.8989,1.2400000000000078,10000,3.0957202911376953
dinov2_l,200,random,2,0.06926448194151114,0.013580547526142487,0.11528068310940896,-0.04601620116789783,0.8971,0.9126,1.5499999999999958,10000,3.5763723850250244
dinov2_l,200,random,3,0.05292932486618126,0.004813951165110129,0.11576606243302562,-0.06283673756684435,0.8954,0.9066,1.1199999999999988,10000,3.1568729877471924
dinov2_l,200,random,4,0.07009922835190073,0.01062272189599307,0.11533509605592118,-0.04523586770402045,0.9074,0.9243,1.6900000000000026,10000,3.2200865745544434
dinov2_l,200,coherent,0,0.06693197265448439,0.0026135123723374483,0.11900173017311515,-0.05206975751863076,0.8195,0.8326,1.31,10000,3.3186378479003906
dinov2_l,200,coherent,1,0.09676496849354398,0.00671746501310845,0.11774752171573467,-0.020982553222190697,0.8679,0.8686,0.07000000000000339,10000,3.5183873176574707
dinov2_l,200,coherent,2,0.09878958936885507,0.0035329704715976315,0.12411830880540035,-0.025328719436545286,0.8298,0.8297,-0.009999999999998899,10000,3.5794198513031006
dinov2_l,200,coherent,3,0.06638405824976176,0.004994069789616716,0.1186687641216137,-0.05228470587185194,0.8229,0.8355,1.2600000000000056,10000,3.791443347930908
dinov2_l,200,coherent,4,0.10398564526639065,0.008317137836265929,0.12523251403942198,-0.021246868773031335,0.8162,0.8196,0.33999999999999586,10000,3.6948585510253906
dinov2_l,500,random,0,0.05365539822142262,0.006644251370261403,0.08774921078899886,-0.03409381256757624,0.83488,0.84608,1.1200000000000099,25000,8.804919242858887
dinov2_l,500,random,1,0.0682729598199223,0.01193762509055184,0.08691802688382275,-0.018645067063900442,0.84896,0.85796,0.8999999999999897,25000,8.743080377578735
dinov2_l,500,coherent,0,0.059732749657834774,0.009339287992514047,0.09074592114518089,-0.031013171487346114,0.7786,0.78884,1.0240000000000027,25000,8.650720596313477
dinov2_l,500,coherent,1,0.07948564443271902,0.0073693963514122615,0.09132932182481124,-0.011843677392092217,0.84184,0.84804,0.6199999999999983,25000,9.355103492736816
dinov2_l,1000,random,0,0.05922666677339474,0.012584091471365792,0.07472884540188018,-0.015502178628485443,0.79846,0.80412,0.5659999999999998,50000,11.912545680999756
dinov2_g,10,random,0,0.03316588537674393,0.0,0.1551688770904764,-0.12200299171373247,0.926,0.938,1.19999999999999,500,0.1014251708984375
dinov2_g,10,random,1,0.028176449145315086,0.0,0.15111337183648918,-0.1229369226911741,0.974,0.976,0.20000000000000018,500,0.10205483436584473
dinov2_g,10,random,2,0.019088249404089454,0.0,0.15028094673276293,-0.13119269732867347,0.994,0.996,0.20000000000000018,500,0.10063838958740234
dinov2_g,10,random,3,0.03730236746716984,0.0,0.15433050989593314,-0.1170281424287633,0.92,0.934,1.4000000000000012,500,0.10479879379272461
dinov2_g,10,random,4,0.028790963021186094,0.0,0.1493343073180135,-0.1205433442968274,0.928,0.938,0.9999999999999898,500,0.06661629676818848
dinov2_g,10,coherent,0,0.04151809687051501,0.0,0.16699371152421233,-0.12547561465369733,0.818,0.818,0.0,500,0.08269000053405762
dinov2_g,10,coherent,1,0.035995373896399986,0.0,0.18392787460144455,-0.14793250070504457,0.826,0.794,-3.1999999999999917,500,0.09569358825683594
dinov2_g,10,coherent,2,0.11761012219362676,0.0,0.16939122254203176,-0.051781100348404996,0.908,0.91,0.20000000000000018,500,0.10586357116699219
