dinov2_g  C= 100 coherent s3 | delta 0.0717 exc -0.0728 | NC 81.88->83.34 (+1.46pp, n=5000) | 2s
dinov2_g  C= 100 coherent s4 | delta 0.1293 exc -0.0162 | NC 85.24->85.22 (-0.02pp, n=5000) | 2s
dinov2_g  C= 200 random   s0 | delta 0.0847 exc -0.0308 | NC 87.45->88.75 (+1.30pp, n=10000) | 4s
dinov2_g  C= 200 random   s1 | delta 0.0609 exc -0.0541 | NC 87.66->88.91 (+1.25pp, n=10000) | 3s
dinov2_g  C= 200 random   s2 | delta 0.0802 exc -0.0342 | NC 89.32->90.67 (+1.35pp, n=10000) | 4s
dinov2_g  C= 200 random   s3 | delta 0.0851 exc -0.0296 | NC 88.99->90.00 (+1.01pp, n=10000) | 4s
dinov2_g  C= 200 random   s4 | delta 0.0675 exc -0.0469 | NC 90.21->91.68 (+1.47pp, n=10000) | 4s
dinov2_g  C= 200 coherent s0 | delta 0.0728 exc -0.0461 | NC 80.95->82.38 (+1.43pp, n=10000) | 3s
dinov2_g  C= 200 coherent s1 | delta 0.1003 exc -0.0184 | NC 85.27->84.82 (-0.45pp, n=10000) | 5s
dinov2_g  C= 200 coherent s2 | delta 0.0985 exc -0.0289 | NC 81.57->80.96 (-0.61pp, n=10000) | 8s
dinov2_g  C= 200 coherent s3 | delta 0.0640 exc -0.0536 | NC 81.40->82.89 (+1.49pp, n=10000) | 8s
dinov2_g  C= 200 coherent s4 | delta 0.1132 exc -0.0161 | NC 80.22->79.71 (-0.51pp, n=10000) | 8s
dinov2_g  C= 500 random   s0 | delta 0.0799 exc -0.0063 | NC 82.70->83.11 (+0.41pp, n=25000) | 25s
dinov2_g  C= 500 random   s1 | delta 0.0843 exc -0.0006 | NC 84.16->84.72 (+0.57pp, n=25000) | 9s
dinov2_g  C= 500 coherent s0 | delta 0.0684 exc -0.0198 | NC 76.86->77.36 (+0.50pp, n=25000) | 9s
dinov2_g  C= 500 coherent s1 | delta 0.0850 exc -0.0068 | NC 82.70->82.65 (-0.05pp, n=25000) | 11s
dinov2_g  C=1000 random   s0 | delta 0.0759 exc +0.0035 | NC 78.44->78.31 (-0.13pp, n=50000) | 17s
clip_l    C=  10 random   s0 | delta 0.0737 exc -0.0911 | NC 98.20->98.20 (+0.00pp, n=500) | 0s
clip_l    C=  10 random   s1 | delta 0.0794 exc -0.0996 | NC 98.60->98.80 (+0.20pp, n=500) | 0s
clip_l    C=  10 random   s2 | delta 0.0563 exc -0.1123 | NC 99.80->99.80 (+0.00pp, n=500) | 0s
clip_l    C=  10 random   s3 | delta 0.0884 exc -0.0676 | NC 96.40->95.80 (-0.60pp, n=500) | 0s
clip_l    C=  10 random   s4 | delta 0.0582 exc -0.0962 | NC 99.80->99.80 (+0.00pp, n=500) | 0s
clip_l    C=  10 coherent s0 | delta 0.0834 exc -0.1060 | NC 79.20->79.00 (-0.20pp, n=500) | 0s
clip_l    C=  10 coherent s1 | delta 0.0747 exc -0.1304 | NC 84.20->83.80 (-0.40pp, n=500) | 0s
clip_l    C=  10 coherent s2 | delta 0.1340 exc -0.0662 | NC 81.40->80.20 (-1.20pp, n=500) | 0s
clip_l    C=  10 coherent s3 | delta 0.0739 exc -0.1105 | NC 96.20->96.40 (+0.20pp, n=500) | 0s
clip_l    C=  10 coherent s4 | delta 0.1271 exc -0.0741 | NC 82.80->82.60 (-0.20pp, n=500) | 0s
clip_l    C=  20 random   s0 | delta 0.1017 exc -0.0881 | NC 97.30->97.50 (+0.20pp, n=1000) | 0s
clip_l    C=  20 random   s1 | delta 0.0926 exc -0.0953 | NC 96.60->97.10 (+0.50pp, n=1000) | 0s
clip_l    C=  20 random   s2 | delta 0.0822 exc -0.1084 | NC 98.00->98.40 (+0.40pp, n=1000) | 0s
clip_l    C=  20 random   s3 | delta 0.0949 exc -0.0949 | NC 96.50->96.30 (-0.20pp, n=1000) | 0s
clip_l    C=  20 random   s4 | delta 0.0811 exc -0.1089 | NC 97.90->98.00 (+0.10pp, n=1000) | 0s
clip_l    C=  20 coherent s0 | delta 0.1206 exc -0.0721 | NC 77.50->77.40 (-0.10pp, n=1000) | 0s
clip_l    C=  20 coherent s1 | delta 0.1177 exc -0.0828 | NC 89.50->88.80 (-0.70pp, n=1000) | 0s
clip_l    C=  20 coherent s2 | delta 0.1725 exc -0.0249 | NC 70.60->69.70 (-0.90pp, n=1000) | 0s
clip_l    C=  20 coherent s3 | delta 0.1189 exc -0.0748 | NC 95.10->95.20 (+0.10pp, n=1000) | 0s
clip_l    C=  20 coherent s4 | delta 0.1136 exc -0.0820 | NC 81.40->81.80 (+0.40pp, n=1000) | 0s
clip_l    C=  50 random   s0 | delta 0.1058 exc -0.0837 | NC 93.80->94.16 (+0.36pp, n=2500) | 1s
clip_l    C=  50 random   s1 | delta 0.1132 exc -0.0660 | NC 94.32->94.76 (+0.44pp, n=2500) | 1s
clip_l    C=  50 random   s2 | delta 0.1067 exc -0.0761 | NC 96.36->96.76 (+0.40pp, n=2500) | 1s
clip_l    C=  50 random   s3 | delta 0.1029 exc -0.0791 | NC 93.60->93.76 (+0.16pp, n=2500) | 1s
clip_l    C=  50 random   s4 | delta 0.1197 exc -0.0765 | NC 94.16->94.48 (+0.32pp, n=2500) | 1s
clip_l    C=  50 coherent s0 | delta 0.1312 exc -0.0552 | NC 82.92->83.00 (+0.08pp, n=2500) | 1s
clip_l    C=  50 coherent s1 | delta 0.1432 exc -0.0639 | NC 91.80->91.08 (-0.72pp, n=2500) | 1s
clip_l    C=  50 coherent s2 | delta 0.1861 exc -0.0218 | NC 70.04->69.56 (-0.48pp, n=2500) | 1s
clip_l    C=  50 coherent s3 | delta 0.1288 exc -0.0631 | NC 87.32->86.96 (-0.36pp, n=2500) | 1s
clip_l    C=  50 coherent s4 | delta 0.1443 exc -0.0521 | NC 82.96->82.12 (-0.84pp, n=2500) | 1s
clip_l    C= 100 random   s0 | delta 0.1089 exc -0.0625 | NC 91.16->91.44 (+0.28pp, n=5000) | 2s
clip_l    C= 100 random   s1 | delta 0.1115 exc -0.0501 | NC 90.14->90.42 (+0.28pp, n=5000) | 2s
clip_l    C= 100 random   s2 | delta 0.1186 exc -0.0460 | NC 92.42->92.56 (+0.14pp, n=5000) | 2s
